id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
531_01102023_MZmine_trial_sirius_sirius_1631,C9H18N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
152_01102023_MZmine_trial_sirius_sirius_704,C12H27N5O5,[M + Na]+,Small peptides,Aminoacids,Dipeptides,Peptides,Amino acids
1120_01102023_MZmine_trial_sirius_sirius_2355,C11H19FN2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1510_01102023_MZmine_trial_sirius_sirius_2870,C15H25N3O5,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1711_01102023_MZmine_trial_sirius_sirius_3172,C16H33N5O3,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
1721_01102023_MZmine_trial_sirius_sirius_3189,C21H34N2O4,[M + K]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2524_01102023_MZmine_trial_sirius_sirius_4341,C24H44N4O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
547_01102023_MZmine_trial_sirius_sirius_1654,C14H26N4O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1722_01102023_MZmine_trial_sirius_sirius_3191,C12H26N2O3S,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1341_01102023_MZmine_trial_sirius_sirius_2631,C14H24N2O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
938_01102023_MZmine_trial_sirius_sirius_2116,C14H18N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1737_01102023_MZmine_trial_sirius_sirius_3207,C15H25N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3525_01102023_MZmine_trial_sirius_sirius_5739,C18H31N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
567_01102023_MZmine_trial_sirius_sirius_1677,C9H18N2O4,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
954_01102023_MZmine_trial_sirius_sirius_2133,C15H22N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
4492_01102023_MZmine_trial_sirius_sirius_7146,C16H28N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1746_01102023_MZmine_trial_sirius_sirius_3222,C11H22N6O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1755_01102023_MZmine_trial_sirius_sirius_3237,C16H29N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3746_01102023_MZmine_trial_sirius_sirius_6055,C22H16BrI2N3O5,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
