id,ClassyFire#most specific class
4843_01102023_MZmine_trial_sirius_sirius_7649,Hydroxy bile acids
4844_01102023_MZmine_trial_sirius_sirius_7650,Hydroxy bile acids
5634_01102023_MZmine_trial_sirius_sirius_8957,Hydroxy bile acids
6631_01102023_MZmine_trial_sirius_sirius_10777,Hydroxy bile acids
6274_01102023_MZmine_trial_sirius_sirius_10244,Hydroxy bile acids
6467_01102023_MZmine_trial_sirius_sirius_10540,Hydroxy bile acids
5819_01102023_MZmine_trial_sirius_sirius_9347,Hydroxy bile acids
7028_01102023_MZmine_trial_sirius_sirius_11367,Hydroxy bile acids
5445_01102023_MZmine_trial_sirius_sirius_8599,Hydroxy bile acids
6034_01102023_MZmine_trial_sirius_sirius_9791,Hydroxy bile acids
4875_01102023_MZmine_trial_sirius_sirius_7699,Hydroxy bile acids
7808_01102023_MZmine_trial_sirius_sirius_12548,Hydroxy bile acids
5257_01102023_MZmine_trial_sirius_sirius_8277,Hydroxy bile acids
6480_01102023_MZmine_trial_sirius_sirius_10563,Hydroxy bile acids
6497_01102023_MZmine_trial_sirius_sirius_10587,Hydroxy bile acids
8410_01102023_MZmine_trial_sirius_sirius_13615,Hydroxy bile acids
6682_01102023_MZmine_trial_sirius_sirius_10859,Hydroxy bile acids
6326_01102023_MZmine_trial_sirius_sirius_10316,Hydroxy bile acids
7108_01102023_MZmine_trial_sirius_sirius_11486,Hydroxy bile acids
7325_01102023_MZmine_trial_sirius_sirius_11777,Hydroxy bile acids
6571_01102023_MZmine_trial_sirius_sirius_10696,Hydroxy bile acids
7335_01102023_MZmine_trial_sirius_sirius_11793,Hydroxy bile acids
7739_01102023_MZmine_trial_sirius_sirius_12421,Hydroxy bile acids
6390_01102023_MZmine_trial_sirius_sirius_10408,Hydroxy bile acids
6938_01102023_MZmine_trial_sirius_sirius_11233,Hydroxy bile acids
6396_01102023_MZmine_trial_sirius_sirius_10416,Hydroxy bile acids
6787_01102023_MZmine_trial_sirius_sirius_11014,Hydroxy bile acids
6400_01102023_MZmine_trial_sirius_sirius_10425,Hydroxy bile acids
9294_01102023_MZmine_trial_sirius_sirius_15243,Hydroxy bile acids
7180_01102023_MZmine_trial_sirius_sirius_11584,Hydroxy bile acids
7190_01102023_MZmine_trial_sirius_sirius_11596,Hydroxy bile acids
9345_01102023_MZmine_trial_sirius_sirius_15354,Hydroxy bile acids
4720_01102023_MZmine_trial_sirius_sirius_7484,Hydroxy bile acids
4160_01102023_MZmine_trial_sirius_sirius_6648,Hydroxy bile acids
5198_01102023_MZmine_trial_sirius_sirius_8186,Hydroxy bile acids
6632_01102023_MZmine_trial_sirius_sirius_10778,Hydroxy bile acids
5654_01102023_MZmine_trial_sirius_sirius_8998,Hydroxy bile acids
6843_01102023_MZmine_trial_sirius_sirius_11085,Hydroxy bile acids
6488_01102023_MZmine_trial_sirius_sirius_10575,Hydroxy bile acids
8999_01102023_MZmine_trial_sirius_sirius_14612,Hydroxy bile acids
8499_01102023_MZmine_trial_sirius_sirius_13761,Hydroxy bile acids
7342_01102023_MZmine_trial_sirius_sirius_11804,Hydroxy bile acids
7202_01102023_MZmine_trial_sirius_sirius_11613,Hydroxy bile acids
9319_01102023_MZmine_trial_sirius_sirius_15295,Hydroxy bile acids
5268_01102023_MZmine_trial_sirius_sirius_8300,Hydroxy bile acids
6280_01102023_MZmine_trial_sirius_sirius_10250,Hydroxy bile acids
6291_01102023_MZmine_trial_sirius_sirius_10267,Hydroxy bile acids
6392_01102023_MZmine_trial_sirius_sirius_10411,Hydroxy bile acids
9128_01102023_MZmine_trial_sirius_sirius_14928,Hydroxy bile acids
8334_01102023_MZmine_trial_sirius_sirius_13458,Hydroxy bile acids
8748_01102023_MZmine_trial_sirius_sirius_14186,Hydroxy bile acids
8136_01102023_MZmine_trial_sirius_sirius_13127,Hydroxy bile acids
6426_01102023_MZmine_trial_sirius_sirius_10479,Hydroxy bile acids
5132_01102023_MZmine_trial_sirius_sirius_8083,Hydroxy bile acids
5968_01102023_MZmine_trial_sirius_sirius_9667,Hydroxy bile acids
5776_01102023_MZmine_trial_sirius_sirius_9261,Hydroxy bile acids
6476_01102023_MZmine_trial_sirius_sirius_10555,Hydroxy bile acids
6362_01102023_MZmine_trial_sirius_sirius_10373,Hydroxy bile acids
9295_01102023_MZmine_trial_sirius_sirius_15244,Hydroxy bile acids
6116_01102023_MZmine_trial_sirius_sirius_9948,Monohydroxy bile acids
3522_01102023_MZmine_trial_sirius_sirius_5736,Monohydroxy bile acids
4130_01102023_MZmine_trial_sirius_sirius_6602,Monohydroxy bile acids
5871_01102023_MZmine_trial_sirius_sirius_9448,Monohydroxy bile acids
5483_01102023_MZmine_trial_sirius_sirius_8678,Monohydroxy bile acids
4346_01102023_MZmine_trial_sirius_sirius_6923,Monohydroxy bile acids
4545_01102023_MZmine_trial_sirius_sirius_7220,Monohydroxy bile acids
4164_01102023_MZmine_trial_sirius_sirius_6652,Monohydroxy bile acids
5327_01102023_MZmine_trial_sirius_sirius_8405,Monohydroxy bile acids
5709_01102023_MZmine_trial_sirius_sirius_9105,Monohydroxy bile acids
5157_01102023_MZmine_trial_sirius_sirius_8123,Monohydroxy bile acids
3808_01102023_MZmine_trial_sirius_sirius_6145,Monohydroxy bile acids
4989_01102023_MZmine_trial_sirius_sirius_7859,Monohydroxy bile acids
6133_01102023_MZmine_trial_sirius_sirius_9984,Monohydroxy bile acids
5549_01102023_MZmine_trial_sirius_sirius_8796,Monohydroxy bile acids
4995_01102023_MZmine_trial_sirius_sirius_7870,Monohydroxy bile acids
6144_01102023_MZmine_trial_sirius_sirius_10001,Monohydroxy bile acids
4787_01102023_MZmine_trial_sirius_sirius_7578,Monohydroxy bile acids
4407_01102023_MZmine_trial_sirius_sirius_7016,Monohydroxy bile acids
4614_01102023_MZmine_trial_sirius_sirius_7327,Monohydroxy bile acids
3847_01102023_MZmine_trial_sirius_sirius_6196,Monohydroxy bile acids
4621_01102023_MZmine_trial_sirius_sirius_7336,Monohydroxy bile acids
3484_01102023_MZmine_trial_sirius_sirius_5678,Monohydroxy bile acids
4261_01102023_MZmine_trial_sirius_sirius_6809,Monohydroxy bile acids
3671_01102023_MZmine_trial_sirius_sirius_5949,Monohydroxy bile acids
6000_01102023_MZmine_trial_sirius_sirius_9724,Monohydroxy bile acids
6011_01102023_MZmine_trial_sirius_sirius_9750,Monohydroxy bile acids
4669_01102023_MZmine_trial_sirius_sirius_7410,Monohydroxy bile acids
5811_01102023_MZmine_trial_sirius_sirius_9328,Monohydroxy bile acids
6283_01102023_MZmine_trial_sirius_sirius_10254,Monohydroxy bile acids
6469_01102023_MZmine_trial_sirius_sirius_10544,Monohydroxy bile acids
5823_01102023_MZmine_trial_sirius_sirius_9364,Monohydroxy bile acids
7466_01102023_MZmine_trial_sirius_sirius_11982,Monohydroxy bile acids
5836_01102023_MZmine_trial_sirius_sirius_9388,Monohydroxy bile acids
7832_01102023_MZmine_trial_sirius_sirius_12609,Monohydroxy bile acids
6320_01102023_MZmine_trial_sirius_sirius_10304,Monohydroxy bile acids
6510_01102023_MZmine_trial_sirius_sirius_10603,Monohydroxy bile acids
6328_01102023_MZmine_trial_sirius_sirius_10320,Monohydroxy bile acids
6887_01102023_MZmine_trial_sirius_sirius_11159,Monohydroxy bile acids
7316_01102023_MZmine_trial_sirius_sirius_11762,Monohydroxy bile acids
6341_01102023_MZmine_trial_sirius_sirius_10340,Monohydroxy bile acids
6569_01102023_MZmine_trial_sirius_sirius_10694,Monohydroxy bile acids
7132_01102023_MZmine_trial_sirius_sirius_11516,Monohydroxy bile acids
8892_01102023_MZmine_trial_sirius_sirius_14433,Monohydroxy bile acids
6921_01102023_MZmine_trial_sirius_sirius_11208,Monohydroxy bile acids
6930_01102023_MZmine_trial_sirius_sirius_11219,Monohydroxy bile acids
6587_01102023_MZmine_trial_sirius_sirius_10716,Monohydroxy bile acids
6820_01102023_MZmine_trial_sirius_sirius_11055,Monohydroxy bile acids
6854_01102023_MZmine_trial_sirius_sirius_11100,Monohydroxy bile acids
4100_01102023_MZmine_trial_sirius_sirius_6553,Taurinated bile acids and derivatives
4497_01102023_MZmine_trial_sirius_sirius_7153,Taurinated bile acids and derivatives
4506_01102023_MZmine_trial_sirius_sirius_7168,Taurinated bile acids and derivatives
3359_01102023_MZmine_trial_sirius_sirius_5499,Taurinated bile acids and derivatives
4327_01102023_MZmine_trial_sirius_sirius_6898,Taurinated bile acids and derivatives
3384_01102023_MZmine_trial_sirius_sirius_5534,Taurinated bile acids and derivatives
3592_01102023_MZmine_trial_sirius_sirius_5832,Taurinated bile acids and derivatives
6102_01102023_MZmine_trial_sirius_sirius_9926,Taurinated bile acids and derivatives
